 Subcycle   Step   binding_Energy   VDW_Energy   ELE+EGB_Energy  Scaled_Peptide_
 Energy
    3    5  -16.2950  -36.6944   20.3994    0.0000
    3    6  -17.3670  -37.4021   20.0351    0.0000
    3    7  -17.3670  -37.4021   20.0351    0.0000
    3    8  -14.1749  -38.1592   23.9843    0.0000
    3    9  -15.8371  -40.3316   24.4945    0.0000
    3   10  -14.9996  -38.7943   23.7947    0.0000
    3   11  -12.7515  -32.9333   20.1818    0.0000
    3   12  -12.7515  -32.9333   20.1818    0.0000
    3   13  -12.7515  -32.9333   20.1818    0.0000
    3   14  -10.3447  -31.8882   21.5435    0.0000
    3   15  -10.7270  -32.4293   21.7024    0.0000
    3   16  -10.7270  -32.4293   21.7024    0.0000
    3   17  -12.9246  -30.7948   17.8702    0.0000
    3   18  -13.1641  -31.1236   17.9595    0.0000
    3   19  -13.1641  -31.1236   17.9595    0.0000
    3   20  -12.4254  -33.2605   20.8350    0.0000
    3   21  -12.1984  -33.0048   20.8064    0.0000
    3   22   -7.0253  -31.7481   24.7228    0.0000
    3   23   -6.8531  -31.8756   25.0225    0.0000
    3   24   -6.6984  -29.4545   22.7561    0.0000
    3   25  -22.7857  -43.4317   20.6460    0.0000
    3   26  -15.2886  -36.2594   20.9708    0.0000
    3   27  -16.4301  -37.4235   20.9935    0.0000
    3   28  -16.2449  -37.0983   20.8534    0.0000
    3   29  -16.2449  -37.0983   20.8534    0.0000
    3   30  -16.2449  -37.0983   20.8534    0.0000
    3   31  -16.2449  -37.0983   20.8534    0.0000
    3   32  -14.9268  -37.3026   22.3758    0.0000
    3   33  -17.9349  -37.1018   19.1669    0.0000
    3   34  -20.6049  -41.5305   20.9256    0.0000
    3   35  -17.2235  -39.2152   21.9916    0.0000
    3   36  -16.4833  -37.5655   21.0822    0.0000
    3   37  -21.5336  -43.0915   21.5579    0.0000
    3   38  -20.2133  -44.7200   24.5067    0.0000
    3   39  -20.1676  -41.8649   21.6973    0.0000
    3   40  -20.4491  -43.0557   22.6066    0.0000
    3   41  -20.4491  -43.0557   22.6066    0.0000
    3   42  -20.4491  -43.0557   22.6066    0.0000
    3   43  -19.0478  -43.3143   24.2665    0.0000
    3   44  -22.2681  -45.3929   23.1248    0.0000
    3   45  -20.5230  -46.0049   25.4819    0.0000
    3   46  -21.4761  -43.0034   21.5273    0.0000
    3   47  -19.4292  -43.9000   24.4708    0.0000
    3   48  -12.1610  -37.8737   25.7128    0.0000
    3   49  -14.6178  -34.7157   20.0979    0.0000
    3   50  -16.7585  -38.2913   21.5327    0.0000
    3   51  -20.7325  -43.3051   22.5726    0.0000
    3   52  -20.7325  -43.3051   22.5726    0.0000
    3   53  -20.7325  -43.3051   22.5726    0.0000
    3   54  -23.6683  -45.6587   21.9904    0.0000
    3   55  -23.2866  -46.0318   22.7452    0.0000
    3   56  -15.9081  -41.4000   25.4919    0.0000
    3   57  -13.9630  -34.7403   20.7773    0.0000
    3   58  -14.0694  -35.8191   21.7497    0.0000
    3   59  -16.5599  -38.0541   21.4942    0.0000
    3   60  -17.2629  -40.0245   22.7615    0.0000
    3   61   -8.5061  -26.3648   17.8587    0.0000
    3   62  -14.3465  -33.4638   19.1173    0.0000
    3   63  -19.3712  -41.6068   22.2356    0.0000
    3   64  -19.3712  -41.6068   22.2356    0.0000
    3   65  -17.5940  -39.7407   22.1467    0.0000
    3   66  -19.2391  -43.0811   23.8421    0.0000
    3   67  -19.2391  -43.0811   23.8421    0.0000
    3   68  -20.7378  -47.4492   26.7114    0.0000
    3   69  -23.3586  -50.2407   26.8821    0.0000
    3   70  -23.3586  -50.2407   26.8821    0.0000
    3   71  -23.3586  -50.2407   26.8821    0.0000
    3   72  -23.3586  -50.2407   26.8821    0.0000
    3   73  -24.4313  -49.3964   24.9651    0.0000
    3   74  -24.4313  -49.3964   24.9651    0.0000
    3   75  -24.4313  -49.3964   24.9651    0.0000
    4    0  -26.8688  -50.9970   24.1282    0.0000
    4    1  -26.6040  -47.0383   20.4343    0.0000
    4    2  -20.3776  -45.3037   24.9261    0.0000
    4    3  -22.9972  -49.6702   26.6731    0.0000
    4    4  -19.5665  -42.5031   22.9366    0.0000
    4    5  -19.5665  -42.5031   22.9366    0.0000
    4    6  -17.6284  -41.8985   24.2701    0.0000
    4    7  -17.9513  -39.9223   21.9710    0.0000
    4    8  -11.7428  -34.3879   22.6451    0.0000
    4    9  -10.8910  -29.8726   18.9816    0.0000
    4   10  -10.8910  -29.8726   18.9816    0.0000
    4   11   -8.2731  -27.6192   19.3460    0.0000
    4   12   -8.2731  -27.6192   19.3460    0.0000
    4   13   -8.3255  -27.7822   19.4567    0.0000
    4   14   -3.3095  -20.6089   17.2994    0.0000
    4   15  -11.0115  -33.5872   22.5757    0.0000
    4   16  -13.4964  -35.5464   22.0499    0.0000
    4   17   -7.0944  -29.2105   22.1161    0.0000
    4   18   -7.0944  -29.2105   22.1161    0.0000
    4   19  -12.9578  -34.3986   21.4409    0.0000
    4   20   -9.4133  -31.9895   22.5763    0.0000
    4   21   -9.4133  -31.9895   22.5763    0.0000
    4   22  -12.4370  -32.2208   19.7839    0.0000
    4   23   -9.9945  -30.8602   20.8657    0.0000
    4   24   -9.9945  -30.8602   20.8657    0.0000
    4   25  -12.9017  -33.2410   20.3393    0.0000
    4   26  -12.9017  -33.2410   20.3393    0.0000
    4   27  -11.8182  -32.4208   20.6026    0.0000
    4   28  -11.8182  -32.4208   20.6026    0.0000
    4   29  -11.7387  -32.6635   20.9248    0.0000
    4   30  -13.1046  -35.8399   22.7354    0.0000
    4   31  -20.1273  -42.1945   22.0672    0.0000
    4   32  -16.6579  -36.2996   19.6417    0.0000
    4   33  -17.2555  -39.3909   22.1354    0.0000
    4   34  -18.0057  -40.1171   22.1113    0.0000
    4   35  -19.1457  -40.6356   21.4899    0.0000
    4   36  -19.1457  -40.6356   21.4899    0.0000
    4   37  -15.8884  -39.5810   23.6927    0.0000
    4   38  -10.4377  -32.3172   21.8795    0.0000
    4   39  -12.7163  -33.5341   20.8178    0.0000
    4   40   -9.7597  -31.2720   21.5123    0.0000
    4   41  -15.8397  -35.6734   19.8337    0.0000
    4   42  -14.7282  -37.6806   22.9524    0.0000
    4   43  -14.6918  -38.7616   24.0698    0.0000
    4   44  -15.6176  -40.5717   24.9542    0.0000
    4   45  -16.8213  -42.4266   25.6053    0.0000
    4   46  -10.7807  -35.1217   24.3411    0.0000
    4   47  -11.1750  -34.1778   23.0029    0.0000
